prefilter_C,ppl,dppl_vs_exact,k_prefilter_pool,k_prefilter_scored,scored_frac,k_reads,seconds
0,11.3229,0.0,0,0,1.0,2500191,149.3
8,13.204,1.8811,92274688,11534336,0.125,5767168,137.8
16,13.0584,1.7355,92274688,23068672,0.25,5767168,139.7
32,13.1963,1.8734,92274688,46137344,0.5,5767168,137.2
48,13.2447,1.9218,92274688,69206016,0.75,5767168,141.3
64,11.3229,0.0,0,0,1.0,2500191,143.0
