prefilter_C,sign_b,ppl,dppl_vs_exact,k_prefilter_pool,k_prefilter_scored,scored_frac,stage1_B_per_cand,k_reads,seconds
0,0,11.3229,0.0,0,0,1.0,0.0,2500191,101.5
8,0,11.3685,0.0456,92274688,11534336,0.125,2.0,2500131,116.8
16,0,11.3276,0.0047,92274688,23068672,0.25,2.0,2500148,109.1
32,0,11.3229,0.0,92274688,46137344,0.5,2.0,2500191,114.3
64,0,11.3229,0.0,0,0,1.0,0.0,2500191,107.7
