prefilter_C,sign_b,ppl,dppl_vs_exact,k_prefilter_pool,k_prefilter_scored,scored_frac,stage1_B_per_cand,k_reads,seconds
0,32,11.3229,0.0,0,0,1.0,0.0,2500191,128.0
8,32,11.4277,0.1048,92274688,11534336,0.125,6.0,2481216,129.1
16,32,11.4616,0.1386,92274688,23068672,0.25,6.0,2488492,132.3
32,32,11.5093,0.1863,92274688,46137344,0.5,6.0,2494779,124.4
64,32,11.3229,0.0,0,0,1.0,0.0,2500191,97.7
