prefilter_C,sign_b,ppl,dppl_vs_exact,k_prefilter_pool,k_prefilter_scored,scored_frac,stage1_B_per_cand,k_reads,seconds
0,0,10.4046,0.0,0,0,1.0,0.0,4969089,209.3
16,0,10.4046,0.0,369098752,46137344,0.125,2.0,4969089,217.5
32,0,10.4046,0.0,369098752,92274688,0.25,2.0,4969089,171.3
64,0,10.4046,0.0,369098752,184549376,0.5,2.0,4969089,156.0
128,0,10.4046,0.0,0,0,1.0,0.0,4969089,166.1
