seq_len,fp16,base_int3,vscore_only,kscore_only,combined_kvscore,best_variant,kscore_changed_decision,combined_beats_vscore
128,8.6728,9.0214,8.8176,9.0214,8.8485,vscore_only,no,no
256,7.356,7.7264,7.6007,7.7264,7.6785,vscore_only,no,no
