model,seq_len,num_samples,B_ppl,C_ppl,delta,delta_pct,C_k_reads,C_v_reads,B_k_reads,B_v_reads,B_runtime_s,C_runtime_s
01-ai/Yi-6B,512,32,7.3624,7.2703,-0.0921,-1.251,127379669,141055787,0,0,650.0,1940.1
JackFram/llama-160m,512,32,27.4271,26.0822,-1.3449,-4.904,9573273,28175463,0,0,1556.5,4593.6
mistralai/Mistral-7B-v0.3,512,32,6.8675,6.7953,-0.0722,-1.051,126561792,141873664,0,0,1288.3,6587.2
upstage/SOLAR-10.7B-v1.0,512,32,6.1548,6.0762,-0.0786,-1.277,190994826,211658358,0,0,1250.1,14814.6
NousResearch/Llama-2-13b-hf,512,32,6.2568,6.174,-0.0828,-1.323,48779261,56078339,0,0,2966.8,39243.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,512,32,10.4044,10.1123,-0.2921,-2.807,46967694,137581682,0,0,1614.4,2945.1
