batch,ppl,fwd_ms_mean,fwd_ms_per_seq,throughput_tok_s,peak_gpu_mem_MB,peak_mem_per_seq_MB,n_forwards,K_reads,V_reads
1,13.073211,7870.07,7870.07,65.1,2643.9,2643.9,16,0,0
2,13.079643,15588.44,7794.22,65.7,3202.9,1601.4,8,0,0
4,13.089714,31535.85,7883.96,64.9,4185.0,1046.2,4,0,0
8,13.012472,61738.51,7717.31,66.3,6152.5,769.1,2,0,0
16,13.081929,123364.53,7710.28,66.4,9033.2,564.6,1,0,0
