model_id,seq_len,num_samples,head_dim,budget,sk,sv,total_kv_MB,residual_MB,saving_vs_fp16_pct,ppl,ppl_source,is_effective_choice,carekv_status,pareto_status,dominated_by
Qwen/Qwen2-7B,128,4,128,SK0SV0,0,0,1.421875,0.0,79.6875,5323.9326,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2-7B,128,4,128,SK0SV2,0,2,1.521789,0.030898,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2-7B,128,4,128,SK0SV4,0,4,1.567016,0.061797,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2-7B,128,4,128,SK2SV4,2,4,1.612242,0.092695,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2-7B,128,4,128,SK4SV4,4,4,1.657469,0.123593,76.3219,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,128,4,128,SK0SV0,0,0,1.421875,0.0,79.6875,375.2077,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2.5-7B,128,4,128,SK0SV2,0,2,1.521789,0.030898,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,128,4,128,SK0SV4,0,4,1.567016,0.061797,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,128,4,128,SK2SV4,2,4,1.612242,0.092695,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,128,4,128,SK4SV4,4,4,1.657469,0.123593,76.3219,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,256,4,128,SK0SV0,0,0,2.84375,0.0,79.6875,261.2668,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2.5-7B,256,4,128,SK0SV2,0,2,3.043578,0.061797,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,256,4,128,SK0SV4,0,4,3.134031,0.123593,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,256,4,128,SK2SV4,2,4,3.224484,0.18539,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,256,4,128,SK4SV4,4,4,3.314938,0.247188,76.3219,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,512,4,128,SK0SV0,0,0,5.6875,0.0,79.6875,583.3875,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2.5-7B,512,4,128,SK0SV2,0,2,6.087156,0.123593,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,512,4,128,SK0SV4,0,4,6.268063,0.247188,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,512,4,128,SK2SV4,2,4,6.448969,0.370781,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2.5-7B,512,4,128,SK4SV4,4,4,6.629875,0.494375,76.3219,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2-7B,256,4,128,SK0SV0,0,0,2.84375,0.0,79.6875,2532.7549,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2-7B,256,4,128,SK0SV2,0,2,3.043578,0.061797,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2-7B,256,4,128,SK0SV4,0,4,3.134031,0.123593,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2-7B,256,4,128,SK2SV4,2,4,3.224484,0.18539,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2-7B,256,4,128,SK4SV4,4,4,3.314938,0.247188,76.3219,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2-7B,512,4,128,SK0SV0,0,0,5.6875,0.0,79.6875,2040.649,measured_basequant_int3,True,blocked_architecture_port,frontier,
Qwen/Qwen2-7B,512,4,128,SK0SV2,0,2,6.087156,0.123593,78.2602,,no_ppl_row,False,blocked_architecture_port,,
Qwen/Qwen2-7B,512,4,128,SK0SV4,0,4,6.268063,0.247188,77.6141,,measured_calibration_vdom,False,blocked_architecture_port,,
Qwen/Qwen2-7B,512,4,128,SK2SV4,2,4,6.448969,0.370781,76.968,,measured_calibration_kv,False,blocked_architecture_port,,
Qwen/Qwen2-7B,512,4,128,SK4SV4,4,4,6.629875,0.494375,76.3219,,no_ppl_row,False,blocked_architecture_port,,
