model_id,seq_len,num_samples,arm,ppl,delta_vs_fp16,delta_vs_turbo,delta_vs_bar,k_reads,v_reads,runtime_s,status
upstage/SOLAR-10.7B-v1.0,512,64,uni_rv4,6.5261,,,,160941576,141048312,6473.3,real
mistralai/Mistral-7B-v0.3,512,64,uni_rv4,7.2695,,,,95503504,105823088,3812.1,real
