model,method,seq_len,batch,num_samples,ppl,fp16_kv_GB,base_kv_GB,residual_GB,total_kv_GB,memory_saving_vs_fp16,peak_gpu_MB,tokens_per_sec,runtime_s,k_reads,v_reads,status,note
deepseek-ai/deepseek-llm-7b-base,fp16,4096,1,8,6.4145,1.875,1.875,0.0,1.875,1.0,18896.0,6110.12,5.4,0,0,real-7B,deepseek-ai/deepseek-llm-7b-base fp16 reference at SL=4096
deepseek-ai/deepseek-llm-7b-base,BaseQuant_INT4,4096,1,8,6.5886,1.875,0.4688,0.0,0.4688,0.25,18896.0,5812.18,5.6,0,0,real-7B,"per-channel K + per-token V symmetric INT4 pre-RoPE KV fake-quant (KIVI-style, outlier-robust, model-agnostic)"
deepseek-ai/deepseek-llm-7b-base,BaseQuant_INT3,4096,1,8,12.621,1.875,0.3516,0.0,0.3516,0.1875,18896.0,5844.63,5.6,0,0,real-7B,"per-channel K + per-token V symmetric INT3 pre-RoPE KV fake-quant (KIVI-style, outlier-robust, model-agnostic)"
deepseek-ai/deepseek-llm-7b-base,uniform_INT3+CAREKV,4096,1,8,,1.875,0.3809,0.0248,0.4319,0.2303,,,,,,memory-projected,7B KV memory projected (Part C estimator); PPL anchor = 13.4618 on TinyLlama SL=128 N=4 (Part A) — SL=4096 CARE-KV PPL infeasible with Python-loop prototype
deepseek-ai/deepseek-llm-7b-base,KIVI_INT3+CAREKV,4096,1,8,,1.875,0.3809,0.0248,0.4319,0.2303,,,,,,memory-projected,7B KV memory projected (Part C estimator); PPL anchor = 13.0948 on TinyLlama SL=128 N=4 (Part A) — SL=4096 CARE-KV PPL infeasible with Python-loop prototype
deepseek-ai/deepseek-llm-7b-base,KVQuantPreRoPE_INT3+CAREKV,4096,1,8,,1.875,0.3809,0.0248,0.4319,0.2303,,,,,,memory-projected,7B KV memory projected (Part C estimator); PPL anchor = 13.1004 on TinyLlama SL=128 N=4 (Part A) — SL=4096 CARE-KV PPL infeasible with Python-loop prototype
