model_id,seq_len,num_samples,keep_ratio,evict_policy,arm,ppl,k_reads,v_reads,runtime_s,status,notes
TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1.0,-,fp16,10.1524,0,0,10.7,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1.0,-,base_noevict,12.9111,0,0,36.2,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,1.0,-,carekv_noevict,11.4231,1262220,1621364,56.3,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,0.5,h2o,base_evict,47.1216,0,0,40.3,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,4,0.5,h2o,carekv_evict,33.7701,1251460,1632124,54.6,real,
