model_id,seq_len,num_samples,arm,ppl,delta_vs_fp16,delta_vs_turbo,delta_vs_current,delta_exact_vs_linear,k_reads,v_reads,runtime_s,status
mistralai/Mistral-7B-v0.3,512,64,fp16,7.1564,0.0,-0.4298,,,0,0,16.7,real
mistralai/Mistral-7B-v0.3,512,64,base_int3,7.6867,0.5303,0.1005,,,0,0,2069.8,real
mistralai/Mistral-7B-v0.3,512,64,turbo_int3,7.5862,0.4298,0.0,,,0,0,16.7,real
mistralai/Mistral-7B-v0.3,512,64,carekv_combined,7.403,0.2466,-0.1832,,,55160376,79057352,3661.6,real
mistralai/Mistral-7B-v0.3,512,64,carekv_combined_exact,7.3214,0.165,-0.2648,,-0.0816,55487131,78730597,3352.9,real
