model_id,seq_len,num_samples,arm,ppl,delta_vs_fp16,delta_vs_turbo,delta_vs_current,delta_exact_vs_linear,k_reads,v_reads,runtime_s,status
01-ai/Yi-6B,512,32,fp16,7.2063,0.0,-0.5994,-0.6615,,0,0,16.5,real
01-ai/Yi-6B,512,32,base_int3,8.3244,1.1181,0.5187,0.4566,,0,0,657.4,real
01-ai/Yi-6B,512,32,turbo_int3,7.8057,0.5994,0.0,-0.0621,,0,0,12.6,real
01-ai/Yi-6B,512,32,carekv_current,7.8678,0.6615,0.0621,0.0,,29302320,37806544,1169.6,real
01-ai/Yi-6B,512,32,carekv_current_exact,7.7135,0.5072,-0.0922,-0.1543,-0.1543,29332341,37776523,834.4,real
01-ai/Yi-6B,512,32,carekv_combined,7.8107,0.6044,0.005,-0.0571,,31205078,35903786,790.6,real
01-ai/Yi-6B,512,32,carekv_combined_exact,7.46,0.2537,-0.3457,-0.4078,-0.3507,31935241,35173623,789.4,real
