model_id,seq_len,num_samples,arm,ppl,delta_vs_fp16,delta_vs_turbo,delta_vs_current,delta_exact_vs_linear,k_reads,v_reads,runtime_s,status
mistralai/Mistral-7B-v0.3,512,32,fp16,6.7697,0.0,-0.4848,-0.3455,,0,0,16.7,real
mistralai/Mistral-7B-v0.3,512,32,base_int3,7.2987,0.529,0.0442,0.1835,,0,0,1280.5,real
mistralai/Mistral-7B-v0.3,512,32,turbo_int3,7.2545,0.4848,0.0,0.1393,,0,0,13.2,real
mistralai/Mistral-7B-v0.3,512,32,carekv_current,7.1152,0.3455,-0.1393,0.0,,29016862,38092002,1586.7,real
mistralai/Mistral-7B-v0.3,512,32,carekv_current_exact,7.0986,0.3289,-0.1559,-0.0166,-0.0166,29028196,38080668,1587.7,real
mistralai/Mistral-7B-v0.3,512,32,carekv_combined,7.0111,0.2414,-0.2434,-0.1041,,27889344,39219520,1577.1,real
mistralai/Mistral-7B-v0.3,512,32,carekv_combined_exact,6.9187,0.149,-0.3358,-0.1965,-0.0924,28058952,39049912,1558.7,real
