batch,ppl,fwd_ms_mean,fwd_ms_per_seq,throughput_tok_s,peak_gpu_mem_MB,peak_mem_per_seq_MB,n_forwards,K_reads,V_reads
1,17.426612,526816.9,526816.9,0.1,2676.2,2676.2,4,392613,328283
2,17.388621,1033200.73,516600.36,0.1,3152.8,1576.4,2,392721,328175
4,17.369753,1940133.54,485033.38,0.1,4051.2,1012.8,1,392460,328436
