model,gqa,num_layers,kv_heads,head_dim,batch,seq_len,tokens,bits,method,store_budget,fp16_kv_GB,base_kv_GB,residual_GB,metadata_GB,total_kv_GB,memory_saving_ratio,residual_frac_of_total,reaches_GB_scale
TinyLlama-1.1B,True,22,4,64,16,2048,32768,3,CAREKV_INT3,SK1SV2RK1RV1,0.6875,0.139648,0.009104,0.014964,0.163716,0.2381,0.0556,False
TinyLlama-1.1B,True,22,4,64,16,2048,32768,3,CAREKV_INT3,SK2SV4RK2RV2,0.6875,0.139648,0.018208,0.019186,0.177042,0.2575,0.1028,False
TinyLlama-1.1B,True,22,4,64,16,2048,32768,3,CAREKV_INT3,SK4SV4RK2RV2,0.6875,0.139648,0.024277,0.022,0.185926,0.2704,0.1306,False
TinyLlama-1.1B,True,22,4,64,16,4096,65536,3,BaseQuant_INT3,-,1.375,0.257812,0.0,0.021484,0.279297,0.2031,0.0,True
TinyLlama-1.1B,True,22,4,64,16,4096,65536,3,CAREKV_INT3,SK1SV2RK1RV1,1.375,0.279297,0.018208,0.029928,0.327433,0.2381,0.0556,True
TinyLlama-1.1B,True,22,4,64,16,4096,65536,3,CAREKV_INT3,SK2SV4RK2RV2,1.375,0.279297,0.036416,0.038371,0.354084,0.2575,0.1028,True
TinyLlama-1.1B,True,22,4,64,16,4096,65536,3,CAREKV_INT3,SK4SV4RK2RV2,1.375,0.279297,0.048555,0.044,0.371852,0.2704,0.1306,True
TinyLlama-1.1B,True,22,4,64,16,8192,131072,3,BaseQuant_INT3,-,2.75,0.515625,0.0,0.042969,0.558594,0.2031,0.0,True
TinyLlama-1.1B,True,22,4,64,16,8192,131072,3,CAREKV_INT3,SK1SV2RK1RV1,2.75,0.558594,0.036416,0.059855,0.654865,0.2381,0.0556,True
TinyLlama-1.1B,True,22,4,64,16,8192,131072,3,CAREKV_INT3,SK2SV4RK2RV2,2.75,0.558594,0.072832,0.076742,0.708168,0.2575,0.1028,True
TinyLlama-1.1B,True,22,4,64,16,8192,131072,3,CAREKV_INT3,SK4SV4RK2RV2,2.75,0.558594,0.097109,0.088,0.743703,0.2704,0.1306,True
